-421, 489, 488
-421, 489, 488
-459, 355, 485
-494, 138, 452
-477, -132, 408
-484, -511, 606
-575, -851, 704
-627, -1057, 844
-640, -1129, 999
-695, -1076, 1006
-768, -976, 932
-846, -810, 844
-846, -810, 844
-905, -632, 827
-991, -495, 840
-1054, -376, 879
-1109, -180, 1029
-1156, 47, 1208
-1207, 184, 1351
-1185, 133, 1353
-1106, 92, 1274
-1076, 144, 1139
-1040, 152, 1047
-973, 149, 802
-915, 161, 375
-825, 218, 17
-825, 218, 17
-623, 144, 8
-383, 73, 63
-242, 75, -65
-182, 39, -200
-182, 39, -200
-167, -64, -86
-221, -10, -58
-312, -30, -64
-410, -136, 126
-592, -96, 118
-706, -53, 128
-706, -53, 128
-773, -68, 248
-879, -89, 332
-971, -188, 396
-1001, -254, 464
-992, -304, 519
-1000, -392, 599
-981, -465, 589
-933, -529, 558
-863, -457, 607
-787, -337, 643
-787, -337, 643
-723, -254, 550
-664, -100, 490
-639, 213, 405
-641, 559, 361
-649, 777, 354
-637, 905, 401
-624, 1052, 533
-625, 1231, 715
-,-,-
-643, 303, 221
-571, 286, 281
-497, 285, 214
-424, 275, 91
-335, 196, 56
-335, 196, 56
-277, 23, 36
-198, -232, -19
-129, -423, 20
-182, -370, 218
-347, -133, 390
-497, 32, 482
-497, 32, 482
-604, 65, 653
-720, 243, 998
-909, 583, 1259
-1007, 708, 1456
-997, 711, 1602
-916, 777, 1600
-858, 763, 1612
-858, 763, 1612
-783, 694, 1549
-736, 695, 1413
-691, 691, 1347
-654, 655, 1338
-613, 636, 1325
-572, 617, 1234
-519, 541, 1162
-487, 484, 1046
-449, 405, 923
-429, 264, 815
-429, 264, 815
-421, 152, 690
-417, 33, 505
-430, -241, 374
-442, -541, 348
-438, -790, 441
-444, -956, 559
-507, -1072, 678
-606, -1059, 749
-606, -1059, 749
-705, -959, 835
-780, -867, 970
-862, -728, 1084
-945, -531, 1179
-979, -361, 1248
-991, -254, 1249
-994, -192, 1221
-1000, -115, 1160
-994, -47, 1075
-998, -16, 1039
-990, 99, 1008
-951, 203, 978
-879, 212, 855
-839, 195, 709
-839, 195, 709
-764, 191, 552
-663, 156, 378
-550, 160, 288
-488, 163, 30
-414, 81, -74
-414, 81, -74
-334, -141, -22
-328, -261, 35
-390, -128, 22
-436, -76, 60
-494, -189, 151
-579, -313, 249
-579, -313, 249
-661, -347, 340
-719, -309, 420
-790, -287, 465
-856, -317, 523
-910, -364, 556
-906, -385, 506
-858, -423, 438
-829, -453, 452
-802, -382, 484
-759, -275, 468
-702, -204, 406
-702, -204, 406
-663, -3, 418
-635, 301, 495
-625, 655, 647
-621, 868, 793
-639, 1055, 827
-649, 1202, 820
-631, 1220, 862
-631, 1220, 862
-,-,-
-516, 194, 146
